Provincia,Comune,Sito
BL,Alleghe,http://alleghe.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
TV,Altivole,http://altivole.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
LC,Barzanò,http://barzano.trasparenza-valutazione-merito.it
BS,Berzo Demo,http://berzodemo.trasparenza-valutazione-merito.it/
SO,Bormio,http://bormio.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Botticino,http://botticino.trasparenza-valutazione-merito.it
VA,Brebbia,http://brebbia.trasparenza-valutazione-merito.it/
VR,Brenzone sul Garda,http://brenzone.trasparenza-valutazione-merito.it/web/trasparenza/atti-amministrativi
CO,Cabiate,http://cabiate.trasparenza-valutazione-merito.it/albo-pretorio
BG,Calcio,http://calcio.trasparenza-valutazione-merito.it/albo-pretorio
MI,Cambiago,http://cambiago.trasparenza-valutazione-merito.it/albo-pretorio
CO,Carimate,http://carimate.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
PI,Casciana Terme Lari,http://temp-vh02.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio 
CE,Castel Volturno,http://castelvolturno.trasparenza-valutazione-merito.it/albo-pretorio
BS,Castrezzato,http://castrezzato.trasparenza-valutazione-merito.it/
BS,Cedegolo,http://cedegolo.trasparenza-valutazione-merito.it/
BL,Cencenighe Agordino,http://cencenigheagordino.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
LO,Cervignano d'Adda,http://cervignanodadda.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Cevo,http://cevo.trasparenza-valutazione-merito.it/
BL,Chies d'Alpago,http://chies.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
RI,Cittaducale,http://cittaducale.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BL,Colle Santa Lucia,http://collesantalucia.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Cologne,http://cologne.trasparenza-valutazione-merito.it/albo-pretorio
RM,Colonna,http://colonna.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VE,Cona,http://cona.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Concesio,http://concesio.trasparenza-valutazione-merito.it/albo-pretorio?VoceMenu=153&Sezione=7
NA,Crispano,http://crispano.trasparenza-valutazione-merito.it/web/trasparenza/atti-amministrativi
BS,Darfo Boario Terme,http://www.darfoboarioterme.gov.it/../../servizi/Menu/menu_redirect.aspx?url=http%3a%2f%2fdarfoboarioterme.trasparenza-valutazione-merito.it%2falbo-pretorio&ID=6290&idCat=6290&TipoElemento=categoria
PD,Este,http://este.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BL,Falcade,http://falcade.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BL,Farra d'Alpago,http://farra.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Flero,http://flero.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VA,Grantola,http://grantola.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
PG,Gubbio,http://gubbio.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VA,Maccagno con Pino e Veddasca,http://maccagnopinoveddasca.trasparenza-valutazione-merito.it/albo-pretorio
VR,Marano di Valpolicella,http://maranovalpolicella.trasparenza-valutazione-merito.it/albo-pretorio
VA,Marnate,http://comunemarnate.trasparenza-valutazione-merito.it/albo-pretorio
MN,Marmirolo,http://marmirolo.trasparenza-valutazione-merito.it/
BS,Mazzano,http://mazzano.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
PR,Montechiarugolo,http://montechiarugolo.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VR,Montecchia di Crosara,http://montecchiadicrosara.trasparenza-valutazione-merito.it/albo-pretorio
SI,Monteriggioni,http://monteriggioni.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
LO,Mulazzano,http://mulazzano.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Nave,http://unionevalledelgarza.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
CT,Nicolosi,http://nicolosi.trasparenza-valutazione-merito.it/albo-pretorio
BS,Nuvolera,http://nuvolera.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Nuvolento,http://nuvolento.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BG,Presezzo,http://www.presezzo.gov.it/../../servizi/Menu/menu_redirect.aspx?url=http%3a%2f%2fpresezzo.trasparenza-valutazione-merito.it%2fweb%2ftrasparenza%2falbo-pretorio&ID=17901&idCat=17901&TipoElemento=categoria
SV,Quiliano,http://quiliano.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
MN,Quistello,http://www.comune.quistello.mn.it/../../servizi/Menu/menu_redirect.aspx?url=http%3a%2f%2fquistello.trasparenza-valutazione-merito.it&ID=57214&idCat=&TipoElemento=Categoria
VT,Ronciglione,http://ronciglione.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
ME,Rometta,http://rometta.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VI,Rosà,http://rosa.trasparenza-valutazione-merito.it/albo-pretorio
PR,Sala Baganza,http://salabaganza.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
OR,Samugheo,http://samugheo.trasparenza-valutazione-merito.it/albo-benefici
MN,San Giorgio di Mantova,http://sangiorgiodimantova.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BL,San Tomaso Agordino,http://santomasoagordino.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
MI,San Zenone al Lambro,http://sanzenoneallambro.trasparenza-valutazione-merito.it/benvenuto
ME,Santa Teresa di Riva,http://santateresadiriva.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
SA,Sant'Arsenio,http://santarsenio.trasparenza-valutazione-merito.it/
BS,Saviore dell'Adamello,http://savioredelladamello.trasparenza-valutazione-merito.it/
FI,Scarperia e San Piero,http://scarperiasanpiero.trasparenza-valutazione-merito.it/albo-pretorio
BS,Sellero,http://sellero.trasparenza-valutazione-merito.it/
SO,Sondalo,http://sondalo.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
TV,Spresiano,http://spresiano.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BG,Torre Pallavicina,http://torrepallavicina.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VR,Torri del Benaco,http://torridelbenaco.trasparenza-valutazione-merito.it/albo-pretorio
SO,Valdidentro,http://valdidentro.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
SO,Valdisotto,http://valdisotto.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
SO,Valfurva,http://valfurva.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BL,Vallada Agordina,http://valladaagordina.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BG,Vertova,http://vertova.trasparenza-valutazione-merito.it/benvenuto
BL,Voltago Agordino,http://voltagoagordino.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
LO,Zelo Buon Persico,http://zelobuonpersico.trasparenza-valutazione-merito.it/
